customer_id,signup_date,city,acquisition_channel
CUST000007,21-03-2025,Pune,Organic
CUST000008,07-02-2025,Kolkata,Referral
CUST000009,25-02-2025,Delhi,Paid
CUST000010,28-01-2025,Hyderabad,Paid
CUST000011,18-01-2025,Kolkata,Organic
CUST000014,03-07-2025,Bengaluru,Paid
CUST000015,14-02-2025,Ahmedabad,Organic
CUST000017,11-04-2025,Mumbai,Organic
CUST000019,03-02-2025,Bengaluru,Organic
CUST000020,10-01-2025,Pune,Paid
CUST000021,03-05-2025,Kolkata,Organic
CUST000025,15-01-2025,Bengaluru,Paid
CUST000027,27-01-2025,Pune,Social
CUST000028,24-06-2025,Pune,Paid
CUST000030,23-05-2025,Delhi,Referral
CUST000037,09-06-2025,Mumbai,Referral
CUST000039,14-03-2025,Pune,Organic
CUST000042,21-05-2025,Bengaluru,Organic
CUST000043,01-05-2025,Kolkata,Organic
CUST000044,19-01-2025,Bengaluru,Organic
CUST000049,01-03-2025,Hyderabad,Organic
CUST000056,03-04-2025,Mumbai,Paid
CUST000057,30-12-2024,Hyderabad,Organic
CUST000059,26-02-2025,Mumbai,Organic
CUST000060,30-01-2025,Kolkata,Organic
CUST000065,03-04-2025,Bengaluru,Organic
CUST000066,16-12-2024,Pune,Organic
CUST000072,26-03-2025,Bengaluru,Organic
CUST000073,18-01-2025,Hyderabad,Paid
CUST000075,01-12-2024,Hyderabad,Organic
CUST000077,06-05-2025,Mumbai,Social
CUST000083,21-01-2025,Pune,Referral
CUST000084,31-03-2025,Pune,Organic
CUST000087,29-12-2024,Hyderabad,Social
CUST000088,15-01-2025,Pune,Paid
CUST000090,07-03-2025,Pune,Organic
CUST000094,10-07-2025,Delhi,Social
CUST000097,11-05-2025,Mumbai,Referral
CUST000098,17-03-2025,Chennai,Social
CUST000100,25-12-2024,Hyderabad,Social
CUST000102,14-11-2024,Delhi,Organic
CUST000103,27-12-2024,Ahmedabad,Organic
CUST000105,14-02-2025,Pune,Organic
CUST000106,20-02-2025,Mumbai,Social
CUST000107,25-04-2025,Pune,Organic
CUST000108,01-03-2025,Bengaluru,Organic
CUST000109,18-01-2025,Bengaluru,Social
CUST000110,30-03-2025,Mumbai,Organic
CUST000111,03-08-2025,Mumbai,Organic
CUST000113,09-02-2025,Mumbai,Referral
CUST000115,17-02-2025,Mumbai,Referral
CUST000117,27-01-2025,Delhi,Referral
CUST000120,10-01-2025,Ahmedabad,Referral
CUST000121,27-12-2024,Pune,Organic
CUST000123,19-12-2024,Bengaluru,Social
CUST000124,09-03-2025,Delhi,Paid
CUST000127,29-12-2024,Ahmedabad,Organic
CUST000128,18-03-2025,Mumbai,Referral
CUST000129,18-02-2025,Bengaluru,Paid
CUST000131,25-03-2025,Hyderabad,Organic
CUST000134,05-03-2025,Pune,Paid
CUST000135,01-05-2025,Bengaluru,Paid
CUST000139,27-11-2024,Delhi,Referral
CUST000140,15-02-2025,Bengaluru,Paid
CUST000141,22-02-2025,Bengaluru,Social
CUST000142,21-02-2025,Delhi,Organic
CUST000143,28-02-2025,Mumbai,Organic
CUST000144,05-02-2025,Kolkata,Social
CUST000146,05-01-2025,Delhi,Referral
CUST000147,31-12-2024,Bengaluru,Referral
CUST000148,01-08-2025,Ahmedabad,Social
CUST000149,20-12-2024,Bengaluru,Referral
CUST000150,16-03-2025,Ahmedabad,Organic
CUST000151,02-01-2025,Hyderabad,Organic
CUST000153,07-04-2025,Hyderabad,Organic
CUST000154,01-01-2025,Delhi,Paid
CUST000155,23-03-2025,Delhi,Organic
CUST000158,07-12-2024,Hyderabad,Referral
CUST000159,10-01-2025,Pune,Organic
CUST000161,30-12-2024,Bengaluru,Organic
CUST000163,29-01-2025,Mumbai,Organic
CUST000165,24-02-2025,Bengaluru,Paid
CUST000166,26-01-2025,Mumbai,Organic
CUST000168,03-02-2025,Delhi,Organic
CUST000169,25-07-2025,Bengaluru,Paid
CUST000170,10-03-2025,Bengaluru,Referral
CUST000172,29-06-2025,Pune,Referral
CUST000174,11-04-2025,Bengaluru,Referral
