restaurant_id,restaurant_name,city,cuisine_type,partner_type,avg_prep_time_min,is_active
REST12962,Flavours of Sweets Palace,Bengaluru,Chinese,Restaurant,26-40,N
REST14069,Royal Biryani Darbar,Ahmedabad,Fast Food,Restaurant,16-25,Y
REST08622,Spicy Wraps Point,Mumbai,North Indian,Restaurant,16-25,Y
REST19745,Delhi Express Palace,Ahmedabad,Pizza,Cloud Kitchen,16-25,Y
REST02383,Namma Mess Delight,Mumbai,Healthy,Restaurant,26-40,Y
REST01307,Madras Mess Nest,Mumbai,South Indian,Restaurant,26-40,Y
REST12542,Sri Darshini Hub,Bengaluru,Fast Food,Restaurant,16-25,N
REST13907,Urban Curry Bhojanalay,Delhi,Chinese,Restaurant,26-40,Y
REST10267,Classic Kitchen Stop,Bengaluru,Pizza,Restaurant,16-25,Y
REST02429,Urban Paratha Corner,Bengaluru,Biryani,Restaurant,>40,Y
REST05434,Namma Pizza Mahal,Chennai,South Indian,Cloud Kitchen,26-40,Y
REST08451,Hot & Crispy Sweets Central,Hyderabad,South Indian,Restaurant,26-40,Y
REST00225,Namma Wraps Zone,Hyderabad,Desserts,Restaurant,26-40,Y
REST13916,Thindi Mane House Point,Bengaluru,Biryani,Restaurant,16-25,Y
REST16733,Spicy Pizza Mahal,Chennai,Pizza,Restaurant,<=15,Y
REST09262,Delhi House Corner,Hyderabad,Healthy,Restaurant,<=15,Y
REST19508,Delhi Curry Clouds,Pune,Healthy,Cloud Kitchen,<=15,Y
REST13839,Classic Thali Central,Delhi,Fast Food,Cloud Kitchen,26-40,Y
REST12102,Madras Paratha Central,Pune,Chinese,Restaurant,26-40,Y
REST01441,Namma Pizza Heaven,Mumbai,North Indian,Restaurant,16-25,Y
REST03046,Namma Express Palace,Pune,Pizza,Cloud Kitchen,16-25,Y
REST09769,Namma Kitchen Clouds,Chennai,Biryani,Restaurant,16-25,N
REST16824,Bombay Grill Palace,Bengaluru,Biryani,Restaurant,26-40,Y
REST02776,Royal Sweets Heaven,Chennai,Fast Food,Cloud Kitchen,<=15,Y
REST16349,Punjabi Express Central,Kolkata,Healthy,Restaurant,16-25,Y
REST08397,Hot & Crispy Curry Clouds,Chennai,Healthy,Cloud Kitchen,16-25,Y
REST14036,Delhi Darshini Bhojanalay,Bengaluru,North Indian,Restaurant,>40,Y
REST18854,Tandoori Wraps Delight,Kolkata,South Indian,Cloud Kitchen,<=15,Y
REST00857,Flavours of Paratha Cafe,Kolkata,Biryani,Restaurant,<=15,Y
REST05538,Kolkata Kitchen Heaven,Delhi,North Indian,Restaurant,<=15,Y
REST01359,Flavours of Thali Mahal,Chennai,Chinese,Cloud Kitchen,16-25,Y
REST11834,Punjabi Mess Cafe,Bengaluru,Fast Food,Cloud Kitchen,26-40,Y
REST16310,Bombay Sweets Delight,Mumbai,Chinese,Restaurant,<=15,Y
REST03421,Namma Pizza Central,Ahmedabad,South Indian,Restaurant,<=15,Y
REST14521,Namma Delights Bhojanalay,Hyderabad,Healthy,Restaurant,>40,N
