order_id,actual_delivery_time_mins,expected_delivery_time_mins,distance_km
ORD202501023439,31,31,6.4
ORD202501012051,46,42,1.9
ORD202501019281,25,31,6.2
ORD202501000124,29,41,6.2
ORD202501006518,37,41,2.4
ORD202501018255,39,42,3.5
ORD202501004299,47,43,7.8
ORD202501018036,46,37,1.6
ORD202501009329,49,42,3.2
ORD202501007498,43,40,3.9
ORD202501007724,42,37,7.5
ORD202501002349,32,33,8.0
ORD202501000464,39,43,3.7
ORD202501009188,38,43,2.3
ORD202501002552,49,41,1.7
ORD202501011873,38,35,6.9
ORD202501016360,37,40,6.4
ORD202501023625,44,42,1.8
ORD202501003201,43,37,1.4
ORD202501019777,43,30,5.2
ORD202501002874,36,44,3.8
ORD202501000545,35,41,4.3
ORD202501017575,44,44,7.1
ORD202501019797,49,35,4.5
ORD202501022002,33,37,1.9
ORD202501016346,33,32,4.9
ORD202501021971,45,39,5.2
ORD202501003159,44,40,7.1
ORD202501006768,41,42,1.5
ORD202501014460,40,43,7.0
ORD202501011353,46,44,3.6
ORD202501019978,41,34,7.6
ORD202501006331,40,43,5.8
ORD202501023947,42,33,3.6
ORD202501018102,28,42,1.9
ORD202501008563,37,40,6.2
ORD202501022124,34,38,5.0
ORD202501008903,37,37,5.4
ORD202501008565,33,33,4.5
ORD202501016944,47,31,7.9
ORD202501023337,37,43,5.0
ORD202501021890,41,39,8.0
ORD202501017303,45,39,7.4
ORD202501020906,46,38,3.0
ORD202501019802,36,39,3.9
ORD202501003553,46,30,5.1
ORD202501022663,29,34,3.6
ORD202501015020,30,36,6.3
ORD202501001438,43,43,7.5
ORD202501007454,41,30,7.5
ORD202501012168,36,36,5.6
ORD202501006871,41,40,4.7
ORD202501014844,37,45,4.3
ORD202501019834,43,40,6.5
ORD202501023485,37,35,4.8
ORD202501000377,36,32,2.0
ORD202501009545,43,42,6.3
ORD202501000523,36,41,3.4
ORD202501008435,43,44,4.2
ORD202501020936,43,38,4.1
ORD202501008187,39,37,5.1
ORD202501002260,36,37,4.2
ORD202501019832,26,40,4.8
ORD202501019282,28,40,8.0
ORD202501013652,32,35,3.1
ORD202501016646,43,31,2.1
ORD202501017479,36,37,7.4
ORD202501015659,50,41,3.0
ORD202501019201,45,34,3.3
ORD202501016418,32,42,3.9
ORD202501007798,32,41,5.5
ORD202501009148,37,34,7.2
ORD202501012777,26,32,6.8
ORD202501006131,43,37,4.2
ORD202501012929,35,42,4.2
ORD202501000787,28,39,6.9
ORD202501012320,35,30,7.5
ORD202501018590,41,42,7.8
ORD202501014786,52,34,1.3
ORD202501008628,38,40,3.6
ORD202501011828,41,40,5.8
ORD202501013743,41,31,2.7
ORD202501004720,46,32,1.1
ORD202501021095,42,37,5.4
ORD202501012443,30,40,5.0
ORD202501013823,34,31,6.5
ORD202501009946,36,34,7.9
ORD202501010477,28,44,7.2
ORD202501010107,38,39,4.5
ORD202501017028,28,39,2.1
ORD202501004956,42,36,4.7
ORD202501002374,46,37,1.9
ORD202501008410,55,34,3.1
ORD202501024004,43,37,7.1
ORD202501005758,25,32,5.7
ORD202501020301,42,39,6.8
ORD202501007244,36,45,4.2
ORD202501000762,35,35,6.3
ORD202501012715,48,34,1.7
ORD202501007720,41,30,2.5
ORD202501000702,31,38,2.0
ORD202501006680,26,32,7.0
ORD202501008051,39,40,3.0
ORD202501002580,54,40,2.8
ORD202501024879,47,45,5.8
ORD202501011502,36,42,3.9
ORD202501022955,32,45,3.8
ORD202501000539,34,33,7.2
ORD202501018894,33,38,1.7
ORD202501010897,46,35,1.2
ORD202501016811,47,45,2.3
ORD202501001923,43,35,4.1
