,RESTAURANT_ID,restaurant_name,city,cuisine_type,partner_type,avg_prep_time_min,is_active
0,REST00001,Madras House Central,Delhi,Pizza,Restaurant,16-25,Y
1,REST00002,Namma Kitchen Clouds,Ahmedabad,Chinese,Restaurant,>40,N
2,REST00003,Taste of Wraps Nest,Mumbai,Healthy,Restaurant,16-25,Y
3,REST00004,Grand Thali Delight,Hyderabad,South Indian,Cloud Kitchen,16-25,Y
4,REST00005,Taste of Curry Zone,Bengaluru,Fast Food,Restaurant,16-25,Y
5,REST00006,Grand Grill Bhojanalay,Bengaluru,Healthy,Cloud Kitchen,16-25,Y
6,REST00007,Kolkata Mess Central,Kolkata,Fast Food,Restaurant,26-40,Y
7,REST00008,Thindi Mane Mess Palace,Chennai,Desserts,Restaurant,26-40,Y
8,REST00009,Annapurna Thali Cafe,Chennai,North Indian,Cloud Kitchen,>40,N
9,REST00010,Royal Wraps Adda,Bengaluru,North Indian,Restaurant,16-25,Y
10,REST00011,Hot & Crispy Sweets Nest,Hyderabad,Biryani,Restaurant,16-25,Y
11,REST00012,Bombay Grill Darbar,Bengaluru,Pizza,Restaurant,16-25,Y
12,REST00013,Hot & Crispy Kitchen Central,Bengaluru,North Indian,Restaurant,>40,Y
13,REST00014,Fresh Delights Central,Bengaluru,South Indian,Restaurant,26-40,Y
14,REST00015,Grand Curry Zone,Kolkata,South Indian,Restaurant,16-25,Y
15,REST00016,Fresh Express Hub,Pune,South Indian,Cloud Kitchen,16-25,Y
16,REST00017,Fresh Thali Zone,Delhi,Biryani,Cloud Kitchen,16-25,Y
17,REST00018,Hot & Crispy Mess Mahal,Hyderabad,South Indian,Restaurant,16-25,Y
18,REST00019,Flavours of Curry Nest,Bengaluru,Chinese,Cloud Kitchen,16-25,Y
19,REST00020,Kolkata Kitchen Zone,Ahmedabad,North Indian,Restaurant,<=15,Y
20,REST00021,Sri Paratha Adda,Hyderabad,Pizza,Cloud Kitchen,16-25,Y
21,REST00022,Annapurna Curry Zone,Bengaluru,North Indian,Cloud Kitchen,26-40,N
22,REST00023,Punjabi Pizza Nest,Kolkata,North Indian,Restaurant,>40,N
23,REST00024,Tandoori Delights Bhojanalay,Pune,Biryani,Cloud Kitchen,16-25,Y
24,REST00025,Tandoori Sweets Corner,Mumbai,Fast Food,Restaurant,26-40,Y
25,REST00026,Delhi Wraps Nest,Hyderabad,North Indian,Restaurant,16-25,N
26,REST00027,Annapurna Pizza Hub,Delhi,Desserts,Restaurant,>40,Y
27,REST00028,Madras Paratha Cafe,Delhi,Fast Food,Restaurant,16-25,Y
28,REST00029,Namma Delights Bhojanalay,Hyderabad,North Indian,Restaurant,16-25,Y
29,REST00030,Hot & Crispy Kitchen Clouds,Ahmedabad,Desserts,Restaurant,<=15,N
30,REST00031,Sri Biryani Clouds,Chennai,Chinese,Restaurant,26-40,Y
31,REST00032,Spicy Darshini Adda,Delhi,Chinese,Cloud Kitchen,<=15,Y
32,REST00033,Madras Express Hub,Chennai,South Indian,Restaurant,26-40,Y
33,REST00034,Thindi Mane House Cafe,Chennai,South Indian,Cloud Kitchen,26-40,Y
34,REST00035,Thindi Mane Express Point,Bengaluru,Chinese,Cloud Kitchen,<=15,Y
35,REST00036,Fresh Paratha Delight,Chennai,Biryani,Cloud Kitchen,<=15,Y
36,REST00037,Taste of Biryani Bhojanalay,Ahmedabad,Fast Food,Restaurant,26-40,Y
